field_name,invoice_type_id,value
expense_category,VIAJES,flight
expense_category,VIAJES,hotel
expense_category,VIAJES,taxi
expense_category,VIAJES,per_diem
expense_category,VIAJES,train
expense_category,VIAJES,bus
expense_category,VIAJES,ferry
expense_category,VIAJES,other_travel
expense_category,PERS_LOCAL,personnel_local
expense_category,PERS_LOCAL,personal_voluntario
expense_category,PERS_SEDE,personnel
expense_category,EQUIPOS,equipment
expense_category,EQUIPOS,furniture
expense_category,EQUIPOS,IT_equipment
expense_category,EQUIPOS,vehicle
expense_category,EQUIPOS,supplies
expense_category,EQUIPOS,audit
expense_category,EQUIPOS,evaluation
expense_category,EQUIPOS,consulting
expense_category,EQUIPOS,works
expense_category,EQUIPOS,other
expense_category,CONSUMIBLES,office_supplies
expense_category,CONSUMIBLES,printing
expense_category,CONSUMIBLES,IT_consumables
expense_category,CONSUMIBLES,cleaning_supplies
expense_category,CONSUMIBLES,other_consumables
payment_method,,bank_transfer
payment_method,,card
payment_method,,cash
payment_method,,cheque
currency,,EUR
currency,,USD
currency,,XAF
currency,,CFA
currency,,GBP
